epoch,train_loss,train_accuracy,valid_accuracy
1,0.4142776484716506,0.86,0.9166666666666666
2,0.2131846824430284,0.9283333333333333,0.9233333333333333
3,0.16181506196657816,0.9476190476190476,0.9311111111111111
4,0.13677483865192958,0.9516666666666667,0.9466666666666667
5,0.11646670060498374,0.9573809523809523,0.9433333333333334
6,0.07873329332896642,0.9752380952380952,0.9588888888888889
7,0.06411991241432372,0.9780952380952381,0.9522222222222222
8,0.05685508058184669,0.9826190476190476,0.96
9,0.04267010240327744,0.986904761904762,0.9622222222222222
10,0.03965777768975212,0.9873809523809524,0.9588888888888889
