method,accuracy,macro_f1,weighted_f1,runtime_seconds,carbon_kgco2e,device
RandomForest,0.7611111111111111,0.7555600276880254,0.7555600276880255,5.062201716005802,7.213637445308268e-05,cpu
CNN,0.9611111111111112,0.9610157295781002,0.9610157295781004,549.2472646380011,0.0078267735210915,cuda
ViT,0.9733333333333334,0.973298429124548,0.973298429124548,1137.7905176839995,0.0162135148769969,cuda
